Entrez	Symbol	L_waltii	L_thermotolerans	L_kluyveri	E_cymbalariae	E_gossypii	K_lactis	T_delbrueckii	Z_rouxii	S_cerevisiae	S_mikatae	S_kudriavzevii	S_bayanus	C_glabrata	K_africana	K_naganishii	N_castellii	N_dairenensis	T_blattae	T_phaffii	V_polyspora
1103	YLL036C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1104	YNL298W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1105	YOR270C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1106	YIL115C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1107	YCR086W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1108	YDR047W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1109	YCR054C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1110	YML105C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1111	YDR464W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1112	YDR105C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1113	YIL055C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1114	YBR031W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1115	YAR018C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1116	YNL244C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1117	YFR053C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1118	YDR251W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1119	YKL072W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1120	YMR092C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121	YOL061W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1122	YLR175W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1123	YML032C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1124	YJL145W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1125	YCR020C-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1126	YDR211W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1127	YDR121W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1128	YDR162C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1129	YFR028C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1130	YLR045C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1131	YPL146C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1132	YNL026W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1133	YLR213C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1134	YKR038C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1135	YIL142W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1136	YGL243W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1137	YER111C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1138	YDR085C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1139	YPL233W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1140	YPL194W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1141	YEL019C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1142	YEL015W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1143	YOR111W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1144	YFL022C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1145	YPR048W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1146	YNL277W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1147	YOR207C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1148	YKL025C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1149	YLR288C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1150	YGL103W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1151	YDR386W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1152	YDR180W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1153	YLR329W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1154	YPL242C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1155	YOR036W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1156	YDR186C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1157	YDL179W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1158	YFL026W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1159	YDL208W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1160	YDR107C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1161	YOR168W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1162	YKL052C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1163	YBL091C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1164	YHR119W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1165	YER143W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1166	YCL039W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1167	YMR196W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1168	YEL056W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1169	YJL157C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1170	YDR296W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1171	YHR159W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1172	YGR096W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1173	YFR023W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1174	YDR159W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1175	YBL078C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1176	YML104C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1177	YHR115C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1178	YMR296C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1179	YOR155C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1180	YGR109C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1181	YLR182W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1182	YOR216C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1183	YLR116W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1184	YNL261W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1185	YLR026C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1186	YGR204W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1187	YNL189W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1188	YDR208W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1189	YGL163C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1190	YPR070W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1191	YPR035W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1192	YLR384C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1193	YOR116C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1194	YKL172W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1195	YDR285W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1196	YPL175W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1197	YOR008C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1198	YLL021W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1199	YOR128C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1200	YOR251C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1201	YNL215W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1202	YOL044W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1203	YJR117W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1204	YNR054C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1205	YDL212W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1206	YMR144W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1207	YKL143W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1208	YOR247W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1209	YKR079C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1210	YOR157C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1211	YER152C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1212	YLR424W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1213	YNR035C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1214	YML071C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1215	YOR265W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1216	YLR092W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1217	YGR014W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1218	YDR331W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1219	YNR050C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1220	YIL008W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1221	YIL128W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1222	YIL153W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1223	YHR117W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1224	YDR321W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1225	YER123W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1226	YLR422W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1227	YCR090C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1228	YPR133C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1229	YNL096C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1230	YNL267W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1231	YPL266W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1232	YJL187C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1233	YPL218W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1234	YKL146W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1235	YPL183C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1236	YLR278C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1237	YML099C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1238	YOL010W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1239	YOL077W-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1240	YKR014C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1241	YJL092W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1242	YFL010C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1243	YMR116C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1244	YBR256C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1245	YER043C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1246	YLR128W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1247	YBL056W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1248	YGL043W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1249	YDR189W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1250	YBL049W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1251	YKL186C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1252	YIL104C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1253	YOR078W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1254	YBL037W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1255	YOR025W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1256	YAL047C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1257	YDL128W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1258	YJR017C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1259	YMR004W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1260	YLR129W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1261	YEL062W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1262	YIR033W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1263	YPL149W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1264	YOR191W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1265	YDL002C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1266	YMR307W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1267	YKR007W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1268	YGR040W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1269	YIL020C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1270	YKL178C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1271	YJL097W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1272	YDR110W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1273	YIL019W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1274	YFR009W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1275	YIL091C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1276	YNL151C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1277	YKL012W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1278	YPR171W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1279	YGL029W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1280	YIL062C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1281	YDR270W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1282	YKL019W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1283	YLR287C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1284	YMR205C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1285	YBR112C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1286	YFL002C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1287	YIL079C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1288	YDL074C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1289	YGL004C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1290	YPR110C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1291	YDR346C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1292	YLR335W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1293	YBR001C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1294	YJR077C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1295	YDR466W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1296	YEL027W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1297	YCL034W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1298	YGR175C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1299	YOR237W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1300	YNL075W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1301	YPR094W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1302	YEL026W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1303	YPR118W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1304	YOR209C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1305	YDL100C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1306	YPR036W-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1307	YLR449W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1308	YLR377C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1309	YOR267C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1310	YBL046W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1311	YOR322C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1312	YFR032C-A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1313	YGL127C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1314	YGR172C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1315	YLR441C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1316	YGL095C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1317	YOL139C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1318	YFL024C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1319	YCR032W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1320	YPL112C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1321	YDL051W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1322	YJR046W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1323	YDL008W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1324	YNL172W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1325	YOR206W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1326	YDL116W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1327	YHL001W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1328	YLR325C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1329	YML118W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1330	YPL213W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1331	YMR074C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1332	YDR181C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1333	YNL245C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1334	YDR335W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1335	YHR142W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1336	YLR044C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1337	YIR002C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1338	YHL031C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1339	YDR144C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1340	YMR276W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1341	YOR340C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1342	YJL036W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1343	YNL010W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1344	YNL099C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1345	YNL291C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1346	YOR212W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1347	YPR169W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1348	YAL032C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1349	YBR246W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1350	YHR148W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1351	YFL037W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1352	YDR223W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1353	YPR073C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1354	YBL011W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1355	YMR269W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1356	YOR217W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1357	YKL175W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1358	YNL321W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1359	YLR337C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1360	YPL001W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1361	YJL087C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1362	YGL125W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1363	YJR104C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1364	YDR155C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1365	YMR203W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1366	YNL292W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1367	YJR055W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1368	YER136W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1369	YJR130C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1370	YML062C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1371	YLL032C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1372	YHR118C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1373	YNL006W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1374	YDL207W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1375	YBL016W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1376	YER040W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1377	YHL035C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1378	YOR301W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1379	YER157W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1380	YIL077C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1381	YDL216C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1382	YPL231W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1383	YDL147W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1384	YGL077C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
